23714	1077	Tosca 's intoxicating ardor	3
50958	2508	choppy ending	1
151503	8263	obvious , preposterous , the movie will likely set the cause of woman warriors back decades .	0
80495	4145	's exactly what these two people need to find each other	3
141571	7681	plumbing arrangements and mind games	2
18131	791	trove	2
9541	397	failed jokes , twitchy acting ,	1
120057	6421	you feel guilty about ignoring what the filmmakers clearly believe	1
143714	7800	It follows the Blair Witch formula for an hour , in which we 're told something creepy and vague is in the works ,	2
49278	2411	a single character worth rooting for -LRB- or worth rooting against , for that matter -RRB-	2
147919	8049	is engage an audience	3
114295	6079	The script is too mainstream	2
78523	4038	to sustain laughs	3
114962	6122	Kids five and up will be delighted with the fast , funny , and even touching story .	4
139304	7552	'm the One That I Want ,	2
25680	1173	how difficult	1
44654	2164	that , in many other hands would be completely forgettable	2
126901	6822	already littered with celluloid garbage	1
147169	8007	saw the film	3
70573	3597	well-meaning and	3
83199	4296	a good time for both children and parents	4
2649	101	for a preemptive strike	2
33596	1577	Beautifully shot against the frozen winter landscapes of Grenoble and Geneva , the film unfolds with all the mounting tension of an expert thriller , until the tragedy beneath it all gradually reveals itself .	4
148376	8074	sticks , really ,	2
148025	8057	The Uncertainty Principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .	2
132934	7169	the cinematic equivalent of high humidity	1
101977	5368	its stupidities wind up sticking in one 's mind a lot more than the cool bits .	1
154656	8455	rowdy participants	3
12295	526	's about as convincing as any other Arnie musclefest ,	1
72361	3698	than I 'd expected it to be	3
32521	1523	, can prevent its tragic waste of life	1
121098	6485	forced fuzziness	2
122127	6545	is just what you get	2
136170	7359	IMAX trip	3
140439	7621	love for the movies of the 1960s	3
120053	6421	biased	1
93382	4870	jury	2
46872	2284	Occasionally funny , sometimes inspiring ,	3
85877	4444	hail	2
1443	52	sleeping dogs	2
125356	6735	this IMAX offering	2
148140	8061	second great war	2
134581	7261	acted by Diane Lane and Richard Gere .	3
61033	3084	famous prima donna Floria Tosca	2
147932	8050	are n't very bright	0
73864	3778	in the market or a costly divorce	2
107297	5670	the level of exaggerated , stylized humor throughout	2
127722	6869	also a -- dare I say it twice -- delightfully charming -- and totally American	4
140223	7609	, aesthetically and sexually	2
16549	712	You can practically hear George Orwell turning over .	0
48504	2370	to the colorful but flat drawings	2
85512	4422	presents events partly from the perspective of Aurelie and Christelle , and	2
97675	5113	is bad , but certainly not without merit as entertainment .	2
36242	1712	is revealing	2
111525	5917	for cheap porn	1
155901	8534	This movie ... does n't deserve the energy it takes to describe how bad it is .	1
49029	2394	unseen material resides	2
120994	6480	better described as a ghost story gone badly awry .	1
28618	1324	Strong filmmaking requires a clear sense of purpose , and in that oh-so-important category , The Four Feathers comes up short .	0
96105	5020	an enthusiastic audience	3
69051	3508	's ...	2
138556	7504	approaching even a vague reason to sit through it all	1
36644	1735	watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards	4
89300	4641	their marks	2
80847	4166	Brosnan James Bond	2
98408	5158	may leave the theater with more questions than answers	2
121185	6489	director D.J. Caruso 's grimy visual veneer and Kilmer 's absorbing performance	3
66800	3390	If we 're to slap protagonist Genevieve LePlouff because she 's French	2
129465	6960	a muscle	2
55357	2762	It 's sweet	3
142101	7708	grand whimper	2
46117	2243	Almost peerlessly unsettling .	1
84857	4388	more substance	2
129596	6968	fits the bill perfectly	4
138189	7478	is , in a word , brilliant as the conflicted Daniel .	4
152801	8339	disgracefully written dialogue	0
101299	5324	tov to a film about a family 's joyous life acting on the Yiddish stage	2
46231	2250	firmly	3
139565	7571	of the escort service	2
47796	2329	mission	2
127044	6832	tired , unimaginative and derivative variation	2
142051	7705	carried the giant camera around Australia	2
21080	943	of the ideal casting of the masterful British actor Ian Holm	4
53622	2661	the girls-behaving-badly film has fallen	1
55336	2759	seventy-minute running time	3
13417	577	Chris Rock , ' ` Anthony Hopkins ' and ` terrorists '	2
111155	5892	done all	2
2996	113	the viewer	2
149208	8119	As happily glib and vicious as its characters	2
104561	5521	may also	2
139120	7541	The soul-searching deliberateness	2
49554	2427	The most brilliant work	4
25898	1187	Rudy	2
9443	392	Michael Stewart	2
59767	3013	apology	2
86923	4505	exhilarating new	4
124331	6677	of control	2
17909	779	Comedian runs out of steam after a half hour .	1
26176	1199	Slim travel incognito	2
9260	386	Einstein	2
71544	3650	The lead actors share no chemistry or engaging charisma .	0
3776	143	its emotions	2
32513	1523	war 's madness remembered that we , today , can prevent its tragic waste of life	2
4594	174	ultimately silly	2
34761	1635	American and	1
58537	2949	whose legacy had begun to bronze	3
6698	267	the big-bug movie	2
114583	6096	the stunts	2
73168	3736	real transformation	2
65815	3337	not always fairly	2
19084	837	the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle	0
98181	5144	an encounter with the rich and the powerful who have nothing	2
43931	2129	curiosity piece	2
131189	7071	equally miserable film	0
43603	2110	this human condition	2
151187	8242	cue	2
44367	2150	maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine	2
68624	3484	Enigma is well-made	3
12163	520	thought out	3
137726	7454	waited three years with breathless anticipation for a new Hal Hartley movie to pore over	3
89306	4642	keep on watching	2
150307	8186	of 2-day old Coke	1
91558	4765	With We Were Soldiers , Hollywood makes a valiant attempt to tell a story about the Vietnam War before the pathology set in .	3
53870	2674	woefully	2
92604	4824	the thematic ironies are too obvious and	2
140393	7619	Seagal ,	2
781	28	Wilde	2
34299	1611	Hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected Hollywood of being overrun by corrupt and hedonistic weasels .	4
1485	54	as a relic from a bygone era , and its convolutions ... feel silly rather than plausible	0
49152	2401	the price of making them	2
92505	4818	modern day	2
28007	1286	too many chefs	2
118713	6345	has made a film so unabashedly hopeful that it actually makes the heart soar	4
35475	1669	his touch	2
19135	839	a crowd-pleaser	3
122520	6571	tracking shots	2
41792	2012	of colonics	2
107939	5708	censure	2
64761	3279	comfy	3
89416	4648	it was put on the screen , just for them	2
131142	7068	it 's a wacky and inspired little film that works effortlessly at delivering genuine , acerbic laughs .	4
55043	2741	motivate	3
35507	1671	fleet-footed	2
17071	740	in the conception than it does in the execution	1
70218	3575	under its own thinness	1
63735	3226	subliminally	2
131615	7091	deathly slow to any teen	0
44139	2139	pull it back	1
141426	7671	marvelously twisted shapes history	3
116447	6209	you did	2
68862	3498	it 's not .	2
69651	3542	Patchy	1
132712	7154	for an hour and a half	2
25022	1141	conventional -- lots of boring talking heads , etc. --	1
136544	7382	on its eccentric characters	2
149459	8135	a fast-moving and cheerfully simplistic	3
56086	2807	is not an easy film	2
30147	1399	came at the expense of seeing justice served ,	2
88871	4617	hats	2
153290	8372	of automatic gunfire	2
47076	2296	during K-19	2
24286	1103	impact	2
151786	8282	weaves us into a complex web	3
128765	6926	lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on America 's skin-deep notions of pulchritude .	2
108922	5766	a longtime admirer	3
116776	6228	unusual , thoughtful bio-drama	3
69947	3558	monotony	0
91298	4750	designed strictly	2
14476	624	this Halloween	2
66337	3364	commands attention .	3
84356	4359	self-conscious debut	1
121413	6504	with a twist	2
83075	4288	Shreve 's graceful dual narrative gets clunky on the screen , and	1
114601	6097	, after-school special	1
78515	4038	his hair	2
48206	2353	A case in point : Doug Pray 's Scratch .	2
16128	694	depends a lot on how interesting and likable you find them .	2
33090	1551	you should avoid this like the dreaded King Brown snake .	0
33386	1565	more dimensional	2
135025	7288	the works of an artist	3
59686	3010	uncompelling the movie	1
35383	1663	all excited about a chocolate eclair	3
130702	7041	Rife with nutty cliches and far too much dialogue	0
58234	2933	more fragile	2
147568	8030	The hard-to-predict and absolutely essential chemistry between the down-to-earth Bullock and the nonchalant Grant proves to be sensational , and everything meshes in this elegant entertainment .	4
56742	2852	intelligent high school	3
79071	4070	well told .	3
76930	3955	Witherspoon 's -RRB-	2
146416	7964	if Allen , at 66 , has stopped challenging himself	1
94436	4929	J. Barry	2
22282	1002	manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .	1
99450	5214	- been-told-a	2
119798	6407	salacious	2
119834	6410	like you ate a Reeses without the peanut butter	2
130278	7017	for adventurous Indian filmmakers toward a crossover	3
144123	7823	lack of spontaneity in its execution and a dearth of real poignancy	1
4562	173	handed with his message at times	2
111968	5943	is n't exactly	2
99747	5233	suffocate the illumination created by the two daughters	1
89585	4659	the movie gods	2
132061	7120	a bit too much like an infomercial for Ram Dass 's latest book aimed at the boomer	1
101496	5336	of bad guys	2
106771	5639	is an uncompromising film .	3
56042	2802	rather choppy	1
148918	8102	I like all four of the lead actors a lot and they manage to squeeze a few laughs out of the material , but they 're treading water at best in this forgettable effort .	3
78568	4041	every painful nuance , unexpected flashes of dark comedy and	2
152206	8303	of the working poor	2
47819	2330	added	2
113854	6052	dawdle	2
99859	5239	the filmmaking in Invincible	3
21441	959	is the score ,	2
137595	7443	of many young people	2
10508	443	lowbrow	1
144349	7837	are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk	4
97106	5076	with The Salton Sea	2
7797	316	Hollywood counterparts	2
21684	970	The art direction	2
132114	7123	British actor	2
132367	7137	the sexuality is muted	2
102365	5387	the peculiar American style of justice that plays out here	2
33018	1547	to generate the belly laughs of lowbrow comedy without sacrificing its high-minded appeal	3
92132	4794	another kind of Chinese	2
28396	1312	every scene	2
41350	1986	alas , no	2
148808	8095	to anyone willing to succumb	2
25730	1175	of the environments	2
135465	7315	, flat dialogue	1
8242	342	wit and empathy	3
153646	8390	displays something more important : respect for its flawed , crazy people	2
131167	7070	the kind of movie you see because the theater	2
13596	583	resembles Sly Stallone in a hot sake half-sleep	2
154365	8437	it still comes from Spielberg , who has never made anything that was n't at least watchable	3
70509	3595	Hitchens '	2
44641	2164	to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable	3
36849	1745	kiddie	2
100616	5282	to pass up , and for the blacklight crowd , way cheaper -LRB- and better -RRB- than Pink Floyd tickets .	2
146748	7983	approximation	2
86367	4471	to take time revealing them	2
75868	3891	stand them	2
149588	8141	measured work	2
40052	1918	high-profile	3
99802	5237	's Lovely and Amazing , from her own screenplay , jumps to the head of the class of women 's films that manage to avoid the ghetto of sentimental chick-flicks by treating female follies with a satirical style .	3
153922	8409	's overweight and out of shape	2
6758	270	likes	3
144316	7835	... once again strands his superb performers in the same old story .	2
62238	3146	performing	2
144728	7856	as variable as the cinematography	2
79402	4090	in its observation of just how much more grueling and time-consuming the illusion of work is than actual work	3
14451	622	its lyrical variations	2
29556	1369	watch them on the Animal Planet	2
63553	3217	Bartleby 's pain	2
33945	1594	surfing	2
33559	1574	is made fresh by an intelligent screenplay and gripping performances in this low-budget , video-shot , debut indie effort .	4
95581	4991	A poignant comedy	3
20581	918	more interested in asking questions than in answering them	2
37302	1770	format	2
45404	2206	a grumble in your stomach	2
27258	1253	walking around a foreign city	2
74508	3820	a fair share	3
118538	6333	in which the script and characters hold sway	3
128208	6898	doodled	2
60585	3058	remarkable and memorable film	4
19926	884	has never made a more sheerly beautiful film than this unexpectedly moving meditation on love , history , memory , resistance and artistic transcendence .	4
103319	5447	is intriguing , provocative stuff	3
61702	3117	a still evolving story	2
121419	6505	of work , with premise and dialogue	2
150255	8184	a trashy	1
118701	6344	of his back	2
45809	2227	splashy and entertainingly nasty	3
17632	763	redefinition	2
128299	6903	I have a confession to make	2
92641	4826	a distinct rarity	3
100147	5254	analgesic balm	2
16645	718	120	2
120129	6425	1950s sci-fi movies	2
126995	6828	consistently intelligent	3
135740	7333	cultural and moral issues	2
118247	6317	another film that praises female self-sacrifice	2
63102	3191	maybe I can channel one of my greatest pictures , Drunken Master	2
43933	2129	about ten minutes	2
95258	4970	of little moments	2
71734	3660	sardonic	2
124568	6693	the only bit of glee	2
140095	7600	tries and become expert fighters after a few weeks	2
47669	2323	fears she 'll become her mother before she gets to fulfill her dreams	2
87249	4525	Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and	2
105125	5553	Dumb and Dumber	2
11995	515	, is a little too in love with its own cuteness	2
143751	7801	the complicated history	2
112768	5988	but emotionally	2
129923	6994	by Michael Caine 's performance	2
149259	8122	laudable in themselves	3
109521	5801	barely gets by on its artistic merits	1
9154	382	good actors	3
107431	5676	meatier	2
89117	4632	the old boy 's characters	2
6278	249	basic	2
100624	5282	the blacklight crowd , way cheaper -LRB- and better -RRB-	3
35694	1682	The last three narcissists left on earth	2
71195	3633	As a vehicle to savour Binoche 's skill	3
66716	3386	, -LRB- Franco -RRB- has all of Dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability .	2
62015	3136	established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release	2
150426	8195	crafting something promising from a mediocre screenplay is not one of them	1
89378	4647	's all quite tasteful to look at	3
10228	430	at soccer hooliganism	1
25481	1166	its best	3
18473	810	better satiric target	2
63032	3189	superficial characters	1
4315	163	running	2
136242	7365	, it is almost a good movie	2
28177	1294	've somehow	2
80335	4139	that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical	2
89209	4636	in a heady whirl of New Age-inspired good intentions	3
47006	2290	stunning animation	4
68209	3463	luvvies	2
20805	929	Collateral Damage is trash , but it earns extra points by acting as if it were n't	2
48829	2384	Swims in mediocrity , sticking its head up for a breath of fresh air now and then .	0
138962	7532	briefly enliven the film	3
137958	7464	is cloyingly hagiographic in its portrait of Cuban leader Fidel Castro	2
75191	3856	the finished product	2
61022	3083	does n't disappoint .	3
60564	3058	Young Everlyn Sampi ,	2
41875	2015	movie star charisma	3
54668	2721	its humour	2
110409	5848	after eating a corn dog and an extra-large cotton candy	2
101439	5335	There 's no doubting that this is a highly ambitious and personal project for Egoyan , but it 's also one that , next to his best work , feels clumsy and convoluted	1
125388	6737	anxieties	2
62891	3182	Thoroughly engrossing and ultimately tragic	2
144005	7816	flawed , dazzling series	2
23839	1083	The 1960s rebellion was misdirected :	1
16086	692	The huskies are beautiful , the border collie is funny	3
67003	3401	reluctant witnesses	2
51559	2539	has never looked uglier	1
33749	1586	own idiosyncratic strain	2
43659	2116	of Black	2
39883	1905	suspense , revenge , and romance	2
72585	3708	a decomposition of healthy eccentric inspiration and ambition	1
4013	152	scientific	2
55042	2741	heartwarmingly	3
81539	4204	charismatic and	2
37255	1768	splashed across the immense IMAX screen	2
99581	5223	Dense and enigmatic	2
30194	1401	acting that borders on hammy at times	2
60405	3050	, Mad Love looks better than it feels .	1
62769	3175	scored and powered	3
36569	1729	is still quite good-natured and not a bad way to spend an hour or two	3
138482	7500	Liyan 's backyard	2
121311	6496	way Adam Sandler 's	2
39559	1888	now it is a copy of a copy of a copy	1
35386	1663	excited	3
72735	3715	of wills between Bacon and Theron	2
75220	3859	a white American zealously spreading a Puritanical brand of Christianity to South Seas islanders	2
253	9	does	2
93390	4870	brother Gordy	2
154063	8416	but what gives Human Nature its unique feel is Kaufman 's script	3
131973	7114	keep your eyes open	3
30815	1433	Talkiness is n't necessarily bad , but the dialogue frequently misses the mark	0
97386	5093	tundra	2
65279	3304	and more entertaining , too	3
140965	7645	let the subtitles fool you	1
151737	8279	a gentle , unforced intimacy	3
52657	2607	son 's	2
102613	5403	This franchise	2
92096	4793	the zest	2
78059	4017	that Chabrol spins	2
136059	7350	turns into an engrossing thriller almost in spite of itself	3
113847	6052	Louiso lets the movie dawdle in classic disaffected-indie-film mode ,	1
86680	4490	A battle between bug-eye theatre and dead-eye	1
111062	5886	on a high note	3
106681	5634	Archibald	2
